Date,^BSESN,INFY.BO,RELIANCE.BO,HDFCBANK.BO,AXISBANK.BO,BHARTIARTL.BO,ICICIBANK.BO,VEDL.BO,CIPLA.BO,TCS.BO,NESTLEIND.BO,TITAN.BO,IDBI.BO,TVSMOTOR.BO,BOSCHLTD.BO,GAIL.BO,YESBANK.BO,VOLTAS.BO,MARICO.BO,UNIONBANK.BO,NAUKRI.BO
2020-09-22,38200.7109375,1010.4000244140625,2287.0,1050.0,425.5,467.6000061035156,353.25,129.5,779.9000244140625,2484.800048828125,15495.0,1115.3499755859375,35.95000076293945,449.04998779296875,12835.75,88.80000305175781,13.449999809265137,665.3499755859375,353.0,26.149999618530273,3400.0
2020-09-23,38124.94140625,1016.3499755859375,2275.0,1040.0,420.0,470.0,356.6499938964844,127.0,785.0,2510.0,15275.0,1106.0999755859375,35.95000076293945,460.0,13140.0,84.25,13.359999656677246,660.7999877929688,346.1000061035156,25.5,3437.89990234375
2020-09-24,37282.1796875,1008.0,2210.0,1036.5,410.04998779296875,426.6000061035156,345.54998779296875,129.0,765.7999877929688,2450.0,15362.9501953125,1116.5,33.900001525878906,442.3999938964844,12580.0,83.05000305175781,13.0,667.0,339.0,25.049999237060547,3404.699951171875
2020-09-25,36991.890625,985.0,2196.0,1053.0,408.3999938964844,429.0,338.1000061035156,132.0,744.0,2370.0,15300.0,1096.0,33.70000076293945,439.0,12516.0498046875,84.5,13.010000228881836,653.9000244140625,344.25,25.049999237060547,3449.0
2020-09-28,37756.25,1014.9000244140625,2229.0,1050.0,417.54998779296875,446.0,351.8999938964844,139.0,772.0,2435.0,16619.0,1121.699951171875,33.95000076293945,455.04998779296875,13060.0,86.8499984741211,13.470000267028809,674.7999877929688,354.75,24.5,3470.25
2020-09-29,38176.859375,1018.9500122070312,2222.0,1058.9000244140625,440.54998779296875,446.0,364.3999938964844,141.3000030517578,776.0499877929688,2439.0,15800.0,1146.800048828125,35.75,472.1000061035156,13550.0,88.3499984741211,13.649999618530273,700.0,362.0,24.799999237060547,3600.0
2020-09-30,38068.890625,1012.25,2264.800048828125,1055.0999755859375,427.0,438.1000061035156,357.04998779296875,140.0,762.0999755859375,2495.0,15690.0,1177.699951171875,35.04999923706055,469.0,13666.650390625,88.8499984741211,13.369999885559082,672.25,358.0,25.149999618530273,3657.89990234375
2020-10-01,38410.19921875,1016.0,2264.0,1085.0,425.0,427.8999938964844,357.5,137.10000610351562,771.0,2509.800048828125,16000.0,1201.1500244140625,34.599998474121094,474.6000061035156,13862.0,86.80000305175781,13.300000190734863,687.1500244140625,367.75,24.399999618530273,3664.0
2020-10-05,38956.78125,1019.4500122070312,2246.0,1111.0,445.04998779296875,432.8500061035156,370.95001220703125,139.60000610351562,776.0,2610.0,16100.0,1200.0,34.849998474121094,490.0,13620.0,88.0999984741211,13.470000267028809,678.5499877929688,366.0,24.799999237060547,3749.0
2020-10-06,39336.33984375,1054.0999755859375,2228.0,1131.699951171875,455.0,428.0,376.5,137.5,783.4500122070312,2736.0,16100.0,1207.9000244140625,34.599998474121094,478.0,13582.599609375,88.0,13.350000381469727,672.0,378.79998779296875,25.0,3551.0
2020-10-07,39633.19140625,1045.0,2233.25,1145.0,448.3999938964844,427.1000061035156,379.8999938964844,138.39999389648438,778.2000122070312,2738.0,15900.0,1200.0999755859375,34.95000076293945,469.0,13285.650390625,86.9000015258789,13.319999694824219,669.9000244140625,373.0,24.450000762939453,3486.699951171875
2020-10-08,40204.3203125,1089.0,2261.800048828125,1175.550048828125,454.0,426.0,385.0,123.4000015258789,774.9500122070312,2825.0,16133.0,1257.0,34.79999923706055,483.79998779296875,13300.0,87.0,13.180000305175781,680.0,373.5,24.450000762939453,3476.10009765625
2020-10-09,40226.25,1099.0,2237.0,1200.0,453.8999938964844,427.0,388.6000061035156,117.19999694824219,814.0,2823.0,16380.0,1251.199951171875,34.900001525878906,475.5,13250.0,84.94999694824219,13.079999923706055,693.0999755859375,372.79998779296875,24.700000762939453,3475.0
