,date,^BSESN,INFY.BO,RELIANCE.BO,HDFCBANK.BO,AXISBANK.BO,BHARTIARTL.BO,ICICIBANK.BO,VEDL.BO,CIPLA.BO,BAJAJ-AUTO.BO,NESTLEIND.BO,TITAN.BO,IDBI.BO,TVSMOTOR.BO,BOSCHLTD.BO,GAIL.BO,YESBANK.BO,VOLTAS.BO,MARICO.BO,UNIONBANK.BO,BERGEPAINT.BO
57,2018-03-26,32536.439453,583.5,892.849976,920.5,500.0,378.215881,275.549988,275.299988,539.0,2771.0,7845.0,899.0,70.0,603.5,17400.0,165.05629,285.200012,602.799988,328.899994,87.0,241.5
58,2018-03-27,33172.980469,572.5,905.049988,945.0,509.799988,385.743469,283.0,288.0,550.700012,2850.0,7856.399902,951.0,73.199997,625.0,17360.050781,159.5,306.049988,620.0,331.899994,92.300003,247.75
59,2018-03-28,33098.089844,576.5,895.049988,944.924988,511.25,378.215881,283.0,284.799988,542.549988,2775.0,8169.0,942.549988,74.800003,611.0,17600.099609,161.0,303.0,622.900024,325.899994,92.599998,250.399994
60,2018-04-02,33030.871094,567.75,890.5,946.0,509.399994,368.485077,272.0,282.950012,545.0,2765.0,8201.0,940.0,71.300003,622.299988,18152.050781,164.574997,305.0,629.0,326.100006,94.599998,260.0
61,2018-04-03,33197.421875,568.400024,890.0,962.5,493.100006,361.23288,260.5,278.75,575.5,2785.0,8285.0,947.0,71.0,659.799988,18677.0,162.625,306.0,640.799988,328.0,96.300003,263.0
62,2018-04-04,33437.519531,570.25,905.5,958.75,502.0,371.789856,267.799988,284.0,573.0,2790.0,8341.0,938.0,73.5,650.0,19101.599609,164.774994,312.649994,653.0,325.049988,97.0,260.350006
63,2018-04-05,33289.960938,567.025024,902.549988,954.974976,499.450012,368.944061,268.899994,280.25,572.0,2790.0,8397.299805,914.0,72.900002,643.150024,19950.0,166.274994,312.0,626.150024,328.0,97.900002,259.399994
64,2018-04-06,33608.589844,570.0,909.900024,955.5,505.0,361.691864,278.149994,285.049988,561.099976,2815.0,8355.0,920.0,72.5,651.0,19553.5,165.5,313.200012,632.799988,320.600006,101.199997,260.0
65,2018-04-09,33653.609375,564.950012,912.950012,961.25,502.799988,352.420074,278.549988,285.299988,575.0,2785.0,8359.900391,945.349976,72.800003,654.0,19989.300781,167.5,315.149994,633.049988,320.0,103.550003,264.5
66,2018-04-10,33880.109375,563.5,918.0,975.0,523.099976,349.528381,280.0,288.0,556.049988,2782.949951,8400.799805,964.0,75.099998,642.0,19950.0,166.899994,318.100006,636.549988,328.049988,105.75,266.899994
67,2018-04-11,33970.351563,559.0,920.099976,961.0,550.0,354.531464,289.799988,289.200012,556.049988,2783.0,8510.299805,964.0,74.199997,636.049988,19828.25,165.524994,320.0,638.099976,325.850006,104.5,265.200012
68,2018-04-12,33987.550781,566.450012,930.0,962.450012,535.349976,352.55777,284.200012,295.850006,557.049988,2777.0,8475.0,978.5,70.800003,625.0,19855.0,163.0,312.0,637.0,322.0,101.0,270.0
69,2018-04-13,34167.53125,587.25,931.150024,963.5,551.0,349.987366,287.5,290.799988,556.0,2772.0,8627.5,983.099976,71.099998,645.0,20245.099609,163.050003,314.799988,639.0,321.0,99.5,268.0
70,2018-04-16,33944.730469,549.650024,935.0,961.950012,538.5,345.443268,285.700012,289.0,550.150024,2800.0,8689.950195,983.0,71.099998,654.799988,19600.0,164.0,308.350006,633.0,316.950012,99.449997,269.0
71,2018-04-17,34381.800781,565.974976,938.25,970.0,544.700012,346.26947,288.0,292.899994,585.0,2855.699951,8755.0,985.0,71.400002,677.0,19624.400391,161.024994,312.0,647.450012,321.799988,99.5,269.850006
72,2018-04-18,34443.421875,562.0,945.0,974.5,535.0,352.328278,293.0,294.0,583.0,2878.0,9028.0,1003.5,71.75,674.200012,19500.099609,163.0,309.200012,642.0,319.049988,98.0,274.0
73,2018-04-19,34403.671875,562.0,938.200012,969.0,520.349976,353.888885,290.200012,296.5,587.549988,2855.0,8960.049805,977.150024,70.099998,674.75,19423.25,165.75,310.0,644.0,319.0,97.5,268.799988
74,2018-04-20,34434.140625,569.25,939.0,971.0,514.200012,362.518066,288.899994,306.0,582.75,2855.0,9151.0,955.0,69.949997,669.0,19700.0,169.25,318.899994,636.549988,318.0,96.0,267.100006
75,2018-04-23,34493.691406,583.0,927.299988,992.0,509.899994,365.822876,280.0,308.899994,572.150024,2853.600098,9130.0,963.299988,67.5,665.0,19480.0,166.5,310.0,634.0,319.5,91.0,266.100006
76,2018-04-24,34491.378906,592.5,937.700012,969.349976,506.450012,370.412872,279.0,293.0,601.900024,2856.0,8944.0,966.0,69.0,661.099976,19650.25,166.274994,313.049988,656.0,316.0,93.599998,268.299988
77,2018-04-25,34593.171875,577.0,972.549988,967.5,505.0,380.05188,282.799988,296.0,598.400024,2882.800049,8866.549805,955.0,67.0,660.150024,19612.75,168.550003,324.0,639.0,316.0,92.0,270.0
78,2018-04-26,34532.949219,582.5,972.0,960.0,498.399994,389.231873,280.0,291.25,591.349976,2929.0,8799.799805,972.0,67.0,655.25,19616.050781,163.800003,328.899994,637.75,323.149994,90.050003,277.0
79,2018-04-27,34747.039063,590.0,988.25,963.0,479.0,374.543854,276.149994,291.600006,603.700012,2894.449951,9050.0,965.5,64.300003,646.5,19690.0,162.75,364.799988,637.0,319.75,91.0,277.799988
80,2018-04-30,35021.199219,594.0,984.700012,964.5,535.049988,375.415955,289.0,294.5,597.0,2957.050049,9090.0,973.900024,67.0,693.400024,19600.0,165.975006,350.0,636.950012,324.0,94.300003,283.450012
81,2018-05-02,35328.910156,600.0,968.799988,974.174988,520.0,377.297882,284.649994,298.0,609.0,2982.0,9400.0,981.0,66.150002,675.0,19622.400391,162.975006,362.850006,643.599976,332.0,95.5,287.850006
82,2018-05-03,35257.308594,599.0,977.0,982.5,518.0,374.543854,278.0,283.100006,613.0,2969.75,9252.0,966.0,65.0,636.0,19352.449219,162.0,355.0,632.0,311.600006,92.0,278.549988
83,2018-05-04,35144.960938,595.0,963.950012,983.5,533.049988,377.297882,280.5,290.700012,611.0,2998.0,9109.900391,957.0,65.900002,640.0,19469.449219,160.5,353.700012,615.0,320.0,91.0,279.0
84,2018-05-07,34983.589844,588.549988,958.0,992.25,525.0,367.658875,284.350006,283.5,591.0,2875.199951,9120.049805,963.700012,65.849998,620.0,19438.25,165.0,346.549988,615.75,317.0,92.5,272.649994
85,2018-05-08,35349.851563,588.275024,973.549988,989.5,535.150024,365.822876,302.5,286.0,593.0,2942.649902,9174.549805,980.0,65.5,628.549988,19470.800781,171.949997,348.549988,628.0,320.0,93.150002,273.049988
86,2018-05-09,35198.078125,585.0,967.650024,982.5,541.5,367.888367,306.799988,284.0,592.0,2884.050049,9103.099609,968.200012,67.5,634.0,19200.0,170.75,344.100006,621.200012,318.649994,92.599998,271.100006
87,2018-05-10,35353.960938,582.5,977.099976,995.0,548.5,375.461853,309.200012,284.149994,593.150024,2880.0,9150.0,986.0,68.5,629.900024,18906.300781,171.675003,348.0,624.950012,315.649994,92.050003,269.450012
88,2018-05-11,35287.988281,585.25,982.799988,995.0,547.0,369.035858,307.0,282.0,575.799988,2829.0,9250.0,996.0,67.099998,614.0,18709.199219,170.675003,345.149994,595.599976,314.049988,83.199997,270.450012
89,2018-05-14,35555.828125,587.5,993.900024,1008.5,552.0,357.836273,310.399994,287.200012,575.799988,2839.0,9506.599609,957.5,66.5,628.549988,18699.0,171.324997,349.950012,615.900024,310.0,87.099998,280.0
90,2018-05-15,35537.851563,594.650024,980.0,1010.674988,553.900024,350.675873,309.700012,282.0,577.799988,2818.0,9577.0,925.0,62.900002,614.0,18208.800781,171.175003,345.0,596.0,312.399994,88.0,278.0
91,2018-05-16,35452.351563,596.275024,976.299988,1017.5,547.5,347.003876,305.0,280.950012,575.0,2826.949951,9490.25,925.0,62.0,626.0,18200.0,168.0,346.0,597.0,320.0,85.0,282.0
92,2018-05-17,35483.621094,599.450012,959.900024,1013.924988,541.0,345.259674,298.25,282.450012,558.75,2843.800049,9660.0,932.0,63.5,580.0,18256.949219,169.0,350.350006,595.0,318.5,84.349998,280.0
93,2018-05-18,35143.589844,593.0,946.0,1014.0,538.0,338.282867,295.899994,278.299988,553.099976,2844.0,9707.950195,925.0,63.299999,595.650024,17871.75,165.0,343.450012,557.0,324.0,85.0,278.5
94,2018-05-21,34873.160156,590.0,932.0,1002.375,533.0,332.315887,287.5,268.549988,529.150024,2775.0,9688.0,934.5,60.0,585.0,17721.400391,163.0,346.5,551.0,318.950012,84.0,280.5
95,2018-05-22,34601.488281,587.799988,933.0,999.5,528.900024,328.597992,288.549988,264.0,521.150024,2725.0,9499.0,911.5,63.5,570.0,17554.699219,161.0,333.149994,549.0,312.450012,86.099998,285.100006
96,2018-05-23,34656.628906,598.400024,927.0,992.5,522.0,332.315887,289.399994,264.0,524.0,2815.100098,9636.0,911.599976,62.5,563.799988,18077.25,163.949997,333.0,550.150024,312.75,87.900002,293.100006
97,2018-05-24,34404.140625,596.224976,916.700012,983.5,521.400024,327.863586,293.0,251.199997,536.0,2775.800049,9656.0,915.0,66.900002,566.0,18036.75,165.0,335.149994,541.25,310.75,87.599998,281.950012
98,2018-05-25,34753.46875,611.5,918.049988,998.950012,535.0,346.407166,297.5,249.100006,533.0,2768.050049,9651.299805,914.0,67.900002,540.0,17700.0,155.5,333.899994,533.0,321.899994,87.300003,294.899994
